Sawada Station	沢田駅（さわだ）
Sawadani Station	沢谷駅（さわだに）
Sawai Station	沢井駅（さわい）
Sawajiri Station	沢尻駅（さわじり）
Sawama Station	沢間駅（さわま）
Sawame Station	沢目駅（さわめ）
Sawanakayama Station	沢中山駅（さわなかやま）
Sawando Station	沢渡駅（さわんど）
Sawanochō Station	沢ノ町駅（さわのちょう）
Sawara Station	佐原駅（さわら）
Sawaragi Station	沢良宜駅（さわらぎ）
Saya Station	佐屋駅（さや）
Sayama Station	狭山駅（さやま）
Sayamagaoka Station	狭山ヶ丘駅（さやまがおか）
Sayamashi Station	狭山市駅（さやまし）
Sayo Station	佐用駅（さよ）
Saza Station	佐々駅（さざ）
Sc-Se[edit]
Screen Station	スクリーン駅（すくりーん）
Seba Station	洗馬駅（せば）
Sechigo Station	清児駅（せちご）
Segoshi Station	瀬越駅（せごし）
Seheji Station	瀬辺地駅（せへじ）
Seiaichūkō-mae Station	聖愛中高前駅（せいあいちゅうこうまえ）
Seibijō Station	整備場駅（せいびじょう）
Seibu Chichibu Station	西武秩父駅（せいぶちちぶ）
Seibuen Station	西武園駅（せいぶえん）
Seibu-Kyūjō-mae Station	西武球場前駅（せいぶきゅうじょうまえ）
Seibu Shinjuku Station	西武新宿駅（せいぶしんじゅく）
Seibu Tachikawa Station	西武立川駅（せいぶたちかわ）
Seibu Yagisawa Station	西武柳沢駅（せいぶやぎさわ）
Seibu-Yūenchi Station	西武遊園地駅（せいぶゆうえんち）
Seihama Station	勢浜駅（せいはま）
Seihōkōkōmae Station	清峰高校前駅（せいほうこうこうまえ）
Seijōgakuen-Mae Station	成城学園前駅（せいじょうがくえんまえ）
Seikan Tunnel Kinenkan Station	青函トンネル記念館駅（せいかんとんねるきねんかん）
Seikibashi Station	清輝橋駅（せいきばし）
Seimei Station	清明駅（せいめい）
Seiryū-Miharashi Station	清流みはらし駅（せいりゅうみはらし）
Seiryū-Shin-Iwakuni Station	清流新岩国駅（せいりゅうしんいわくに）
Seiseki-Sakuragaoka Station	聖蹟桜ヶ丘駅（せいせきさくらがおか）
Seishin-Chūō Station	西神中央駅（せいしんちゅうおう）
Seishin-Minami Station	西神南駅（せいしんみなみ）
Seishūgakuenmae Station	静修学園前駅（せいしゅうがくえんまえ）
Seiwagakuenmae Station	清和学園前駅（せいわがくえんまえ）
Seki Station (Gifu)	関駅 (岐阜県)（せき）
Seki Station (Mie)	関駅 (三重県)（せき）
Sekigahara Station	関ヶ原駅（せきがはら）
Sekigawa Station	関川駅（せきがわ）
Sekiguchi Station	関口駅（せきぐち）
Sekijūjibyōinmae Station	赤十字病院前駅（せきじゅうじびょういんまえ）
Sekijūjimae Station	赤十字前駅（せきじゅうじまえ）
Sekime Station	関目駅（せきめ）
Sekime-Seiiku Station	関目成育駅（せきめせいいく）
Sekime-Takadono Station	関目高殿駅（せきめたかどの）
Sekine Station	関根駅（せきね）
Sekinomiya Station	関ノ宮駅（せきのみや）
Sekishi Station	積志駅（せきし）
Seki-Shimouchi Station	関下有知駅（せきしもうち）
Seki-Shiyakushomae Station	関市役所前駅（せきしやくしょまえ）
Sekito Station	関都駅（せきと）
Seki-Tomioka Station	関富岡駅（せきとみおか）
Sekiya Station (Nara)	関屋駅 (奈良県)（せきや）
Sekiya Station (Niigata)	関屋駅 (新潟県)（せきや）
Sekiyama Station	関山駅（せきやま）
Sembayashi Station	千林駅（せんばやし）
Sembayashi-Ōmiya Station	千林大宮駅（せんばやしおおみや）
Sembokuchō Station	仙北町駅（せんぼくちょう）
Sembon Station	千本駅（せんぼん）
Semine Station	瀬峰駅（せみね）
Semi-Onsen Station	瀬見温泉駅（せみおんせん）
Sempukuji Station	泉福寺駅（せんぷくじ）
Senchō Station	千丁駅（せんちょう）
Senda Station	千旦駅（せんだ）
Sendagaya Station	千駄ヶ谷駅（せんだがや）
Sendagi Station	千駄木駅（せんだぎ）
Sendai Station (Miyagi)	仙台駅（せんだい）
Sendai Station (Kagoshima)	川内駅 (鹿児島県)（せんだい）
Sendai Airport Station	仙台空港駅（せんだいくうこう）
Sendaifutō Station	仙台埠頭駅（せんだいふとう）
Sendai-Kitakō Station	仙台北港駅（せんだいきたこう）
Sendaikō Station	仙台港駅（せんだいこう）
Sendai-Nishikō Station	仙台西港駅（せんだいにしこう）
Sendaira Station	千平駅（せんだいら）
Sengakuji Station	泉岳寺駅（せんがくじ）
Sengawa Station	仙川駅（せんがわ）
Sengencho Station	浅間町駅（せんげんちょう）
Sengendai Station	せんげん台駅（せんげんだい）
Sengoku Station	千石駅（せんごく）
Senjō Station	千丈駅（せんじょう）
Senjōjiki Station	千畳敷駅（せんじょうじき）
Senju-Ōhashi Station	千住大橋駅（せんじゅおおはし）
Senkawa Station	千川駅（せんかわ）
Senmaya Station	千厩駅（せんまや）
Seno Station	瀬野駅（せの）
Senoo Station	妹尾駅（せのお）
Senoue Station	瀬上駅（せのうえ）
Senri-Chūō Station	千里中央駅（せんりちゅうおう）
Senrioka Station	千里丘駅（せんりおか）
Senriyama Station	千里山駅（せんりやま）
Senryūgataki Station	潜竜ヶ滝駅（せんりゅうがたき）
Sentoku Station	千徳駅（せんとく）
Senzai Station	前栽駅（せんざい）
Senzaki Station	仙崎駅（せんざき）
Senzoku Station	洗足駅（せんぞく）
Senzoku-Ike Station	洗足池駅（せんぞくいけ）
Senzu Station	千頭駅（せんず）
Seppu Station	節婦駅（せっぷ）
Serada Station	世良田駅（せらだ）
Sesekushi Station	瀬々串駅（せせくし）
Sessokyō-Onsen Station	接岨峡温泉駅（せっそきょうおんせん）
Seta Station (Kumamoto)	瀬田駅 (熊本県)（せた）
Seta Station (Shiga)	瀬田駅 (滋賀県)（せた）
Setagaya Station	世田谷駅（せたがや）
Setagaya-Daita Station	世田谷代田駅（せたがやだいた）
Setaka Station	瀬高駅（せたか）
Seto Station	瀬戸駅（せと）
Setoguchi Station	瀬戸口駅（せとぐち）
Setoishi Station	瀬戸石駅（せといし）
Setose Station	瀬戸瀬駅（せとせ）
Setoshi Station	瀬戸市駅（せとし）
Seto-Shiyakushomae Station	瀬戸市役所前駅（せとしやくしょまえ）
Settai Station	摂待駅（せったい）
Settsu Station	摂津駅（せっつ）
Settsu-Motoyama Station	摂津本山駅（せっつもとやま）
Settsu-shi Station	摂津市駅（せっつし）
Settsu-Tonda Station	摂津富田駅（せっつとんだ）
Seya Station	瀬谷駅（せや）
Seya-Kitaguchi Station	勢野北口駅（せやきたぐち）
Sha-Shim[edit]
Shadai Station	社台駅（しゃだい）
Shaguma Station	舎熊駅（しゃぐま）
Shake Station	社家駅（しゃけ）
Shakubetsu Station	尺別駅（しゃくべつ）
Shakudo Station	尺土駅（しゃくど）
Shakujiikōen Station	石神井公園駅（しゃくじいこうえん）
Shibahara Station	柴原駅（しばはら）
Shibahashi Station	柴橋駅（しばはし）
Shibahira Station	柴平駅（しばひら）
Shibajuku Station	柴宿駅（しばじゅく）
Shibakawa Station	芝川駅（しばかわ）
Shibakōen Station	芝公園駅（しばこうえん）
Shibamata Station	柴又駅（しばまた）
Shibasaki Station	柴崎駅（しばさき）
Shibasaki-Taiikukan Station	柴崎体育館駅（しばさきたいいくかん）
Shibata Station (Aichi)	柴田駅（しばた）
Shibata Station (Niigata)	新発田駅（しばた）
Shibaura-futō Station	芝浦ふ頭駅（しばうらふとう）
Shibayama Station	柴山駅（しばやま）
Shibayama-Chiyoda Station	芝山千代田駅（しばやまちよだ）
Shibecha Station	標茶駅（しべちゃ）
Shibetsu Station	士別駅（しべつ）
Shibukawa Station	渋川駅（しぶかわ）
Shibuki Station	渋木駅（しぶき）
Shibun Station	志文駅（しぶん）
Shibusawa Station	渋沢駅（しぶさわ）
Shibushi Station	志布志駅（しぶし）
Shibutami Station	渋民駅（しぶたみ）
Shibuya Station	渋谷駅（しぶや）
Shichidō Station	七道駅（しちどう）
Shichijō Station	七条駅（しちじょう）
Shichikenjaya Station	七軒茶屋駅（しちけんぢゃや）
Shichinohe-Towada Station	七戸十和田駅（しちのへとわだ）
Shichirigahama Station	七里ヶ浜駅（しちりがはま）
Shidai-igakubu Station	市大医学部駅（しだいいがくぶ）
Shido Station	志度駅（しど）
Shiga Station	志賀駅（しが）
Shiga-hondōri Station	志賀本通駅（しがほんどおり）
Shigaraki Station	信楽駅（しがらき）
Shigarakigūshi Station	紫香楽宮跡駅（しがらきぐうし）
Shigasato Station	滋賀里駅（しがさと）
Shigehara Station	重原駅（しげはら）
Shigeno Station	滋野駅（しげの）
Shigeoka Station	重岡駅（しげおか）
Shigetō Station	繁藤駅（しげとう）
Shigetomi Station	重富駅（しげとみ）
Shigeyasu Station	重安駅（しげやす）
Shigino Station	鴫野駅（しぎの）
Shigisanguchi Station	信貴山口駅（しぎさんぐち）
Shigisanshita Station	信貴山下駅（しぎさんした）
Shigō Station	四郷駅（しごう）
Shii Station (JR Kyushu)	志井駅 (JR九州)（しい）
Shii Station (Kitakyushu Monorail)	志井駅 (北九州高速鉄道)（しい）
Shiida Station	椎田駅（しいだ）
Shiikōen Station	志井公園駅（しいこうえん）
Shiinamachi Station	椎名町駅（しいなまち）
Shiishiba Station	椎柴駅（しいしば）
Shiizakai Station	志比堺駅（しいざかい）
Shijima Station	四十万駅（しじま）
Shijimi Station	志染駅（しじみ）
Shijō Station	四条駅（しじょう）
Shijōmae Station	市場前駅（しじょうまえ）
Shijōnawate Station	四条畷駅（しじょうなわて）
Shijō-Ōmiya Station	四条大宮駅（しじょうおおみや）
Shijuku Station	四十九駅（しじゅく）
Shikabe Station	鹿部駅（しかべ）
Shikaga Station	鹿賀駅（しかが）
Shikaka Station	鹿家駅（しかか）
Shikama Station	飾磨駅（しかま）
Shikamura Station	四箇村駅（しかむら）
Shikanotani Station	鹿ノ谷駅（しかのたに）
Shikaribetsu Station	然別駅（しかりべつ）
Shikauchi Station	鹿討駅（しかうち）
Shikenjō-mae Station	試験場前駅（しけんじょうまえ）
Shiki Station (Osaka)	志紀駅（しき）
Shiki Station (Saitama)	志木駅（しき）
Shikido Station	敷戸駅（しきど）
Shikiji Station	敷地駅（しきじ）
Shikijiki Station	式敷駅（しきじき）
Shikinami Station	敷浪駅（しきなみ）
Shikinosato Station	四季の郷駅（しきのさと）
Shikishima Station	敷島駅（しきしま）
Shiku Station	志久駅（しく）
Shima-Akasaki Station	志摩赤崎駅（しまあかさき）
Shimabara Station	島原駅（しまばら）
Shimabara-Funatsu Station	島原船津駅（しまばらふなつ）
Shimabarakō Station	島原港駅（しまばらこう）
Shimada Station	島田駅 (静岡県)（しまだ）
Shimagahara Station	島ヶ原駅（しまがはら）
Shima-Isobe Station	志摩磯部駅（しまいそべ）
Shimamatsu Station	島松駅（しままつ）
Shimamoto Station	島本駅（しまもと）
Shimanokoshi Station	島越駅（しまのこし）
Shimanoseki Station	島ノ関駅（しまのせき）
Shimanoshita Station	島ノ下駅（しまのした）
Shimao Station	島尾駅（しまお）
Shima-Shimmei Station	志摩神明駅（しましんめい）
Shimata Station	島田駅 (山口県)（しまた）
Shimatakamatsu Station	島高松駅（しまたかまつ）
Shimauchi Station	島内駅（しまうち）
Shima-Ujinaga Station	島氏永駅（しまうじなが）
Shima-Yokoyama Station	志摩横山駅（しまよこやま）
Shimbamba Station	新馬場駅（しんばんば）
Shimbaru Station	新原駅（しんばる）
Shimbashi Station	新橋駅（しんばし）
Shiminbyōin-mae Station (Nagasaki)	市民病院前駅 (長崎県)（しみんびょういんまえ）
Shiminbyōin-mae Station (Toyama)	市民病院前駅 (富山県)（しみんびょういんまえ）
Shimin-hiroba Station	市民広場駅（しみんひろば）
Shiminkōen-mae Station	市民公園前駅（しみんこうえんまえ）
Shimizu Station (Aichi)	清水駅 (愛知県)（しみず）
Shimizu Station (Osaka)	清水駅 (大阪府)（しみず）
Shimizu Station (Shizuoka)	清水駅 (静岡県)（しみず）
Shimizugawa Station	清水川駅（しみずがわ）
Shimizuhara Station	清水原駅（しみずはら）
Shimizukōen Station	清水公園駅（しみずこうえん）
Shimizumachi Station	清水町駅（しみずまち）
Shimizusawa Station	清水沢駅（しみずさわ）
Shimizuura Station	冷水浦駅（しみずうら）
Shimmachi Station (Gunma)	新町駅 (群馬県)（しんまち）
Shimmachi Station (Kumamoto)	新町駅 (熊本県)（しんまち）
Shimmachiguchi Station	新町口駅（しんまちぐち）
Shimmei Station (Fukui)	神明駅 (福井県)（しんめい）
Shimmei Station (Hokkaido)	神明駅 (北海道)（しんめい）
Shimmeichō Station	神明町駅（しんめいちょう）
Shimmori-Furuichi Station	新森古市駅（しんもりふるいち）
Shimo Station	志茂駅（しも）
Shimo-Akatsuka Station	下赤塚駅（しもあかつか）
Shimo-Amazu Station	下天津駅（しもあまづ）
Shimo-Asō Station	下麻生駅（しもあそう）
Shimobeonsen Station	下部温泉駅（しもべおんせん）
Shimoda Station	下田駅（しもだ）
Shimodaira Station	下平駅（しもだいら）
Shimodate Station	下館駅（しもだて）
Shimodate-Nikōmae Station	下館二高前駅（しもだてにこうまえ）
Shimo-Fukawa Station	下深川駅（しもふかわ）
Shimo-Fukaya Station	下深谷駅（しもふかや）
Shimofunato Station	下船渡駅（しもふなと）
Shimo-Gion Station	下祇園駅（しもぎおん）
Shimogiri Station	下切駅（しもぎり）
Shimogōri Station	下郡駅（しもごおり）
Shimo-Goshiro Station	下小代駅（しもごしろ）
Shimohama Station	下浜駅（しもはま）
Shimo-Hōjō Station	下北条駅（しもほうじょう）
Shimohyōgo Station	下兵庫駅（しもひょうご）
Shimohyogo Kofuku Station	下兵庫こうふく駅（しもひょうごこうふく）
Shimoichi Station	下市駅（しもいち）
Shimo-Ichida Station	下市田駅（しもいちだ）
Shimoichiguchi Station	下市口駅（しもいちぐち）
Shimo-Igusa Station	下井草駅（しもいぐさ）
Shimoiida Station	下飯田駅（しもいいだ）
Shimo-Imaichi Station	下今市駅（しもいまいち）
Shimo-Isaka Station	下井阪駅（しもいさか）
Shimo-Ita Station	下伊田駅（しもいた）
Shimo-Itabashi Station	下板橋駅（しもいたばし）
Shimoizumi Station	下泉駅（しもいずみ）
Shimoji Station	下地駅（しもじ）
