Mikawa-Ōno Station	三河大野駅（みかわおおの）
Mikawa-Ōtsuka Station	三河大塚駅（みかわおおつか）
Mikawashima Station	三河島駅（みかわしま）
Mikawa-Shiotsu Station	三河塩津駅（みかわしおつ）
Mikawa-Tahara Station	三河田原駅（みかわたはら）
Mikawa-Takahama Station	三河高浜駅（みかわたかはま）
Mikawa-Toba Station	三河鳥羽駅（みかわとば）
Mikawa-Tōgō Station	三河東郷駅（みかわとうごう）
Mikawa-Toyota Station	三河豊田駅（みかわとよた）
Mikawa-Yatsuhashi Station	三河八橋駅（みかわやつはし）
Mikayamaguchi Station	三ヶ山口駅（みかやまぐち）
Mikazuki Station	三日月駅（みかづき）
Mikekado Station	三毛門駅（みけかど）
Miki Station	三木駅 (神戸電鉄)（みき）
Mikisato Station	三木里駅（みきさと）
Miki-Uenomaru Station	三木上の丸駅（みきうえのまる）
Mikkabi Station	三ヶ日駅（みっかび）
Mikkaichi Station	三日市駅（みっかいち）
Mikkaichichō Station	三日市町駅（みっかいちちょう）
Mikumo Station	三雲駅（みくも）
Mikuni Station (Fukui)	三国駅 (福井県)（みくに）
Mikuni Station (Osaka)	三国駅 (大阪府)（みくに）
Mikunigaoka Station (Fukuoka)	三国が丘駅（みくにがおか）
Mikunigaoka Station (Osaka)	三国ヶ丘駅（みくにがおか）
Mikunijinja Station	三国神社駅（みくにじんじゃ）
Mikuniminato Station	三国港駅（みくにみなと）
Mikuriya Station (Nagasaki)	御厨駅（みくりや）
Mikuriya Station (Tottori)	御来屋駅（みくりや）
Mimasaka Station	三間坂駅（みまさか）
Mimasaka-Doi Station	美作土居駅（みまさかどい）
Mimasaka-Emi Station	美作江見駅（みまさかえみ）
Mimasaka-Kamo Station	美作加茂駅（みまさかかも）
Mimasaka-Kawai Station	美作河井駅（みまさかかわい）
Mimasaka-Ochiai Station	美作落合駅（みまさかおちあい）
Mimasaka-Oiwake Station	美作追分駅（みまさかおいわけ）
Mimasaka-Ōsaki Station	美作大崎駅（みまさかおおさき）
Mimasaka-Sendai Station	美作千代駅（みまさかせんだい）
Mimasaka-Takio Station	美作滝尾駅（みまさかたきお）
Mimata Station	三股駅（みまた）
Miminashi Station	耳成駅（みみなし）
Mimitsu Station	美々津駅（みみつ）
Mimmaya Station	三厩駅（みんまや）
Mimomi Station	実籾駅（みもみ）
Mimurodo Station	三室戸駅（みむろど）
Minabe Station	南部駅（みなべ）
Minagi Station	美袋駅（みなぎ）
Minakami Station	水上駅（みなかみ）
Minakuchi Station	水口駅（みなくち）
Minakuchi-Ishibashi Station	水口石橋駅（みなくちいしばし）
Minakuchi-Jōnan Station	水口城南駅（みなくちじょうなん）
Minakuchi-Matsuo Station	水口松尾駅（みなくちまつお）
Minamata Station	水俣駅（みなまた）
Minami-Anjo Station	南安城駅（みなみあんじょう）
Minami-arako Station	南荒子駅（みなみあらこ）
Minami-Arao Station	南荒尾駅（みなみあらお）
Minami-Asagaya Station	南阿佐ヶ谷駅（みなみあさがや）
Minamiaso Mizu-no-Umareru-Sato Hakusui-Kōgen Station	南阿蘇水の生まれる里白水高原駅（みなみあそみずのうまれるさとはくすいこうげん）
