Higashi-Matsue Station (Wakayama)	東松江駅 (和歌山県)
Higashi-Matsusaka Station	東松阪駅
Higashi-Matsuyama Station	東松山駅（ひがしまつやま）
Higashi-Menda Station	東免田駅
Higashi-Mihama Station	東美浜駅
Higashi-Mikkaichi Station	東三日市駅
Higashi-Mikuni Station	東三国駅
Higashi-Minato Station	東湊駅
Higashi-Mito Station	東水戸駅
Higashi-Miyahara Station	東宮原駅
Higashi-Mizumaki Station	東水巻駅
Higashi-Monzen Station	東門前駅
Higashi-Mori Station	東森駅
Higashi-Moro Station	東毛呂駅
Higashi-Mukō Station	東向日駅
Higashi-Mukōjima Station	東向島駅
Higashi-Murayama Station	東村山駅（ひがしむらやま）
Higashi-Muroran Station	東室蘭駅（ひがしむろらん）
Higashi-Nagahara Station	東長原駅（ひがしながはら）
Higashi-Nagasaki Station	東長崎駅（ひがしながさき）
Higashi-Nagasawa Station	東長沢駅（ひがしながさわ）
Higashi-Nagoyakō Station	東名古屋港駅（ひがしなごやこう）
Higashi-Nakagami Station	東中神駅（ひがしなかがみ）
Higashi-Nakama Station	東中間駅（ひがしなかま）
Higashi-Nakano Station	東中野駅（ひがしなかの）
Higashi-Nakatsu Station	東中津駅（ひがしなかつ）
Higashi-Nakayama Station	東中山駅（ひがしなかやま）
Higashi-Namerikawa Station	東滑川駅（ひがしなめりかわ）
Higashi-Narawa Station	東成岩駅（ひがしならわ）
Higashi-Narita Station	東成田駅（ひがしなりた）
Higashi-Naruo Station	東鳴尾駅（ひがしなるお）
Higashine Station	東根駅（ひがしね）
Higashi-Nemuro Station	東根室駅（ひがしねむろ）
Higashi-Nihombashi Station	東日本橋駅（ひがしにほんばし）
Higashi-Niigata Station	東新潟駅（ひがしにいがた）
Higashi-Niitsu Station	東新津駅（ひがしにいつ）
Higashi-Nikkawa Station	東新川駅 (群馬県)（ひがしにっかわ）
Higashino Station (Gifu)	東野駅 (岐阜県)（ひがしの）
Higashino Station (Kyoto)	東野駅 (京都府)（ひがしの）
Higashinodanchi Station	ひがし野団地駅（ひがしのだんち）
Higashi-Nojiri Station	東野尻駅（ひがしのじり）
Higashi-Noshiro Station	東能代駅（ひがしのしろ）
Higashi-Obama Station	東小浜駅（ひがしおばま）
Higashi-Ōbuke Station	東大更駅（ひがしおおぶけ）
Higashi-Ōdate Station	東大館駅（ひがしおおだて）
Higashi-Ōgaki Station	東大垣駅（ひがしおおがき）
Higashi-ogu-sanchōme Station	東尾久三丁目停留場（ひがしおぐさんちょうめ）
Higashi-Oiwake Station	東追分駅（ひがしおいわけ）
Higashi-Ōjima Station	東大島駅（ひがしおおじま）
Higashi-Okayama Station	東岡山駅（ひがしおかやま）
Higashi-Okazaki Station	東岡崎駅（ひがしおかざき）
Higashi-Ōme Station	東青梅駅（ひがしおうめ）
Higashi-Ōmiya Station	東大宮駅（ひがしおおみや）
Higashi-Onomichi Station	東尾道駅（ひがしおのみち）
Higashi-Ōsaki Station	東大崎駅（ひがしおおさき）
Higashi-Ōte Station	東大手駅（ひがしおおて）
Higashi-Rinkan Station	東林間駅（ひがしりんかん）
Higashi-Rokusen Station	東六線駅（ひがしろくせん）
Higashi-Saigawa-Sanshirō Station	東犀川三四郎駅（ひがしさいがわさんしろう）
Higashi-Sakata Station	東酒田駅（ひがしさかた）
Higashi-Sanjō Station	東三条駅（ひがしさんじょう）
Higashi-Sano Station	東佐野駅（ひがしさの）
Higashi-Sapporo Station	東札幌駅（ひがしさっぽろ）
Higashi-Sendai Station	東仙台駅（ひがしせんだい）
Higashi-Shikagoe Station	東鹿越駅（ひがししかごえ）
Higashi-Shingi Station	東新木駅（ひがししんぎ）
Higashi-Shinjō Station	東新庄駅（ひがししんじょう）
Higashi-Shinjuku Station	東新宿駅（ひがししんじゅく）
Higashi-Shinkawa Station	東新川駅 (山口県)（ひがししんかわ）
Higashi-Shinmachi Station	東新町駅（ひがししんまち）
Higashi-Shinminato Station	東新湊駅（ひがししんみなと）
Higashi-Shiogama Station	東塩釜駅（ひがししおがま）
Higashi-Shiroishi Station	東白石駅（ひがししろいし）
Higashi-Shizunai Station	東静内駅（ひがししずない）
Higashi-Shizuoka Station	東静岡駅（ひがししずおか）
Higashisono Station	東園駅（ひがしその）
Higashi-Sōja Station	東総社駅（ひがしそうじゃ）
Higashi-Sukumo Station	東宿毛駅（ひがしすくも）
Higashi-Suma Station	東須磨駅（ひがしすま）
Higashi-Tabira Station	東田平駅（ひがしたびら）
Higashi-Tagonoura Station	東田子の浦駅（ひがしたごのうら）
Higashi-Takasaki Station	東高崎駅（ひがしたかさき）
Higashi-Takasu Station	東高須駅（ひがしたかす）
Higashi-Takikawa Station	東滝川駅（ひがしたきかわ）
Higashi-Taku Station	東多久駅（ひがしたく）
Higashi-Taragi Station	東多良木駅（ひがしたらぎ）
Higashi-Tarumi Station	東垂水駅（ひがしたるみ）
Higashi-Tengachaya Station	東天下茶屋駅（ひがしてんがちゃや）
Higashi-Tokorozawa Station	東所沢駅（ひがしところざわ）
Higashi-Tomioka Station	東富岡駅（ひがしとみおか）
Higashi-Tondendōri Station	東屯田通駅（ひがしとんでんどおり）
Higashi-Totsuka Station	東戸塚駅（ひがしとつか）
