Itabu Station	飯給駅（いたぶ）
Itakano Station	井高野駅（いたかの）
Itako Station	潮来駅（いたこ）
Itakura-tōyōdaimae Station	板倉東洋大前駅（いたくらとうようだいまえ）
Itami Station (JR West)	伊丹駅 (JR西日本)（いたみ）
Itami Station (Hankyu)	伊丹駅 (阪急)（いたみ）
Itamochi Station	板持駅（いたもち）
Itano Station	板野駅（いたの）
Itaya Station	板谷駅（いたや）
Itayado Station	板宿駅（いたやど）
Itayanagi Station	板柳駅（いたやなぎ）
Itō Station	伊東駅（いとう）
Itoda Station	糸田駅（いとだ）
Itoi Station	糸井駅（いとい）
Itoigawa Station	糸魚川駅（いといがわ）
Itoizawa Station	糸魚沢駅（いといざわ）
Itonuki Station	糸貫駅（いとぬき）
Itoshimakōkō-mae Station	糸島高校前駅（いとしまこうこうまえ）
Itoshino Station	愛し野駅（いとしの）
Itozaki Station	糸崎駅（いとざき）
Itsukaichi Station	五日市駅（いつかいち）
Itsukamachi Station	五日町駅（いつかまち）
Itsutsubashi Station	五橋駅（いつつばし）
Iwadate Station	岩館駅（いわだて）
Iwade Station	岩出駅（いわで）
Iwadeyama Station	岩出山駅（いわでやま）
Iwafune Station	岩舟駅（いわふね）
Iwafunemachi Station	岩船町駅（いわふねまち）
Iwahana Station	岩鼻駅（いわはな）
Iwahara Station	岩原駅（いわはら）
Iwai Station	岩井駅（いわい）
Iwaizumi Station	岩泉駅（いわいずみ）
Iwaizumi-Omoto Station	岩泉小本駅（いわいずみおもと）
Iwajuku Station	岩宿駅（いわじゅく）
Iwaki Station (Fukushima)	いわき駅（いわき）
Iwaki Station (Nara)	磐城駅（いわき）
Iwaki-Asakawa Station	磐城浅川駅（いわきあさかわ）
Iwaki-Hanawa Station	磐城塙駅（いわきはなわ）
Iwaki-Ishii Station	磐城石井駅（いわきいしい）
Iwaki-Ishikawa Station	磐城石川駅（いわきいしかわ）
Iwaki-Minato Station	岩城みなと駅（いわきみなと）
Iwaki-Moriyama Station	磐城守山駅（いわきもりやま）
Iwaki-Ōta Station	磐城太田駅（いわきおおた）
Iwakiri Station	岩切駅（いわきり）
Iwaki-Tanakura Station	磐城棚倉駅（いわきたなくら）
Iwaki-Tokiwa Station	磐城常葉駅（いわきときわ）
Iwakuni Station	岩国駅（いわくに）
Iwakura Station (Aichi)	岩倉駅 (愛知県)（いわくら）
Iwakura Station (Kyoto)	岩倉駅 (京都府)（いわくら）
Iwakura Station (Yamaguchi)	岩倉駅 (山口県)（いわくら）
Iwakuraji Station	岩峅寺駅（いわくらじ）
Iwama Station	岩間駅（いわま）
Iwamatsu Station	岩松駅（いわまつ）
Iwami Station (Tottori)	岩美駅（いわみ）
Iwami Station (Nara)	石見駅（いわみ）
Iwami-Fukumitsu Station	石見福光駅（いわみふくみつ）
Iwami-Kawagoe Station	石見川越駅（いわみかわごえ）
Iwami-Kawamoto Station	石見川本駅（いわみかわもと）
Iwami-Matsubara Station	石見松原駅（いわみまつばら）
Iwami-Tsuda Station	石見津田駅（いわみつだ）
Iwami-Tsuga Station	石見都賀駅（いわみつが）
Iwami-Yanaze Station	石見簗瀬駅（いわみやなぜ）
Iwami-Yokota Station	石見横田駅（いわみよこた）
Iwamizawa Station	岩見沢駅（いわみざわ）
Iwamoto Station	岩本駅（いわもと）
Iwamotochō Station	岩本町駅（いわもとちょう）
Iwamura Station	岩村駅（いわむら）
Iwamurada Station	岩村田駅（いわむらだ）
Iwamuro Station	岩室駅（いわむろ）
Iwanami Station	岩波駅（いわなみ）
Iwane Station	巖根駅（いわね）
Iwanebashi Station	岩根橋駅（いわねばし）
Iwanome Station	岩野目駅（いわのめ）
Iwanoshita Station	岩ノ下駅（いわのした）
Iwanuma Station	岩沼駅（いわぬま）
Iwappara-Skiing Ground Station	岩原スキー場前駅（いわっぱらスキーじょうまえ）
Iwasawa Station	岩沢駅（いわさわ）
Iwase Station	岩瀬駅（いわせ）
Iwasehama Station	岩瀬浜駅（いわせはま）
Iwashima Station	岩島駅（いわしま）
Iwashiro Station	岩代駅（いわしろ）
Iwashimizu-hachimangū Station	石清水八幡宮駅（いわしみずはちまんぐう）
Iwashiroshimizu Station	岩代清水駅（いわしろしみず）
Iwata Station (Shizuoka)	磐田駅（いわた）
Iwata Station (Yamaguchi)	岩田駅 (山口県)（いわた）
Iwatakiguchi Station	岩滝口駅（いわたきぐち）
Iwate-Funakoshi Station	岩手船越駅（いわてふなこし）
Iwate-Futsukamachi Station	岩手二日町駅（いわてふつかまち）
Iwate-Iioka Station	岩手飯岡駅（いわていいおか）
Iwate-Kamigō Station	岩手上郷駅（いわてかみごう）
Iwate-Kariya Station	岩手刈屋駅（いわてかりや）
Iwate-Kawaguchi Station	岩手川口駅（いわてかわぐち）
Iwate-Numakunai Station	いわて沼宮内駅（いわてぬまくない）
Iwate-Ōkawa Station	岩手大川駅（いわておおかわ）
Iwate-Wainai Station	岩手和井内駅（いわてわいない）
Iwato Station	石刀駅（いわと）
Iwatsuka Station	岩塚駅（いわつか）
Iwatsuki Station	岩槻駅（いわつき）
Iwaya Station (Hyogo)	岩屋駅 (兵庫県)（いわや）
Iwaya Station (Saga)	岩屋駅 (佐賀県)（いわや）
Iwayama Station	岩山駅（いわやま）
Iya Station	揖屋駅（いや）
Iyaguchi Station	祖谷口駅（いやぐち）
Iyo-Doi Station	伊予土居駅（いよどい）
Iyo-Himi Station	伊予氷見駅（いよひみ）
Iyo-Hirano Station	伊予平野駅（いよひらの）
Iyo-Hōjō Station	伊予北条駅（いよほうじょう）
Iyo-Iwaki Station	伊予石城駅（いよいわき）
Iyo-Izushi Station	伊予出石駅（いよいずし）
Iyo-Kameoka Station	伊予亀岡駅（いよかめおか）
Iyo-Kaminada Station	伊予上灘駅（いよかみなだ）
Iyoki Station	伊与喜駅（いよき）
Iyo-Komatsu Station	伊予小松駅（いよこまつ）
Iyo-Mishima Station	伊予三島駅（いよみしま）
Iyo-Miyanoshita Station	伊予宮野下駅（いよみやのした）
Iyo-Miyoshi Station	伊予三芳駅（いよみよし）
Iyo-Nagahama Station	伊予長浜駅（いよながはま）
Iyo-Nakayama Station	伊予中山駅（いよなかやま）
Iyo-Ōhira Station	伊予大平駅（いよおおひら）
Iyo-Ōzu Station	伊予大洲駅（いよおおず）
Iyo-Saijō Station	伊予西条駅（いよさいじょう）
Iyo-Sakurai Station	伊予桜井駅（いよさくらい）
Iyo-Sangawa Station	伊予寒川駅（いよさんがわ）
Iyoshi Station	伊予市駅（いよし）
Iyo-Shirataki Station	伊予白滝駅（いよしらたき）
Iyo-Tachibana Station	いよ立花駅（いよたちばな）
Iyo-Tachikawa Station	伊予立川駅（いよたちかわ）
Iyo-Tomita Station	伊予富田駅（いよとみた）
Iyo-Wake Station	伊予和気駅（いよわけ）
Iyo-Yokota Station	伊予横田駅（いよよこた）
Iyo-Yoshida Station	伊予吉田駅（いよよしだ）
Izu-Atagawa Station	伊豆熱川駅（いずあたがわ）
Izue Station	いずえ駅（いずえ）
Izu-Hokkawa Station	伊豆北川駅（いずほっかわ）
Izu-Inatori Station	伊豆稲取駅（いずいなとり）
Izukōgen Station	伊豆高原駅（いずこうげん）
Izukyu Shimoda Station	伊豆急下田駅（いずきゅうしもだ）
Izume Station	出目駅（いずめ）
Izumi Station (Fukushima)	泉駅 (福島市)（いずみ）
Izumi Station (Iwaki)	泉駅 (福島県いわき市)（いずみ）
Izumi Station (Kagoshima)	出水駅（いずみ）
Izumi-Chūō Station (Kanagawa)	いずみ中央駅（いずみちゅうおう）
Izumi-Chūō Station (Miyagi)	泉中央駅（いずみちゅうおう）
Izumi-Chūō Station (Osaka)	和泉中央駅（いずみちゅうおう）
